District,Combination_1_Crop_1,Combination_1_Crop_2,Combination_2_Crop_1,Combination_2_Crop_2
24 Parganas,SUGARCANE,MAIZE,RICE,WHEAT
Adilabad,SUGARCANE,GROUNDNUT,MAIZE,RICE
Agra,SUGARCANE,RICE,WHEAT,BARLEY
Ahmedabad,SUGARCANE,GROUNDNUT,RICE,WHEAT
Ahmednagar,SUGARCANE,GROUNDNUT,MAIZE,WHEAT
Ajmer,SUGARCANE,RICE,WHEAT,BARLEY
Akola,SUGARCANE,PIGEONPEA,SORGHUM,MAIZE
Alappuzha,RICE,PIGEONPEA,SUGARCANE,SESAMUM
Aligarh,SUGARCANE,RICE,WHEAT,BARLEY
Allahabad,SUGARCANE,RICE,PIGEONPEA,WHEAT
Almorah,RICE,MUSTARD,WHEAT,MAIZE
Alwar,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Amarawati,SUGARCANE,SORGHUM,MAIZE,PIGEONPEA
Ambala,SUGARCANE,MAIZE,WHEAT,RICE
Amreli,SUGARCANE,SESAMUM,WHEAT,GROUNDNUT
Amritsar,SUGARCANE,MAIZE,WHEAT,RICE
Ananthapur,SUGARCANE,RAGI,MAIZE,RICE
Aurangabad,SUGARCANE,SORGHUM,MAIZE,WHEAT
Azamgarh,SUGARCANE,BARLEY,WHEAT,RICE
Bahraich,SUGARCANE,BARLEY,WHEAT,RICE
Balaghat,SUGARCANE,MAIZE,RICE,PIGEONPEA
Balasore,SUGARCANE,WHEAT,RICE,GROUNDNUT
Ballia,SUGARCANE,BARLEY,WHEAT,RICE
Banaskantha,SUGARCANE,MUSTARD,WHEAT,MAIZE
Banda,SUGARCANE,BARLEY,PIGEONPEA,WHEAT
Bangalore,SUGARCANE,WHEAT,MAIZE,RICE
Bankura,SUGARCANE,MAIZE,RICE,WHEAT
Banswara,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Barabanki,SUGARCANE,BARLEY,WHEAT,RICE
Bareilly,SUGARCANE,PIGEONPEA,WHEAT,RICE
Barmer,BARLEY,GROUNDNUT,WHEAT,MUSTARD
Bastar,SUGARCANE,PIGEONPEA,RICE,MAIZE
Basti,SUGARCANE,BARLEY,WHEAT,RICE
Beed,SUGARCANE,GROUNDNUT,MAIZE,SORGHUM
Belgaum,SUGARCANE,SORGHUM,MAIZE,RICE
Bellary,SUGARCANE,SORGHUM,RICE,MAIZE
Betul,SUGARCANE,RICE,WHEAT,MAIZE
Bhagalpur,SUGARCANE,WHEAT,MAIZE,RICE
Bhandara,SUGARCANE,PIGEONPEA,RICE,GROUNDNUT
Bharatpur,SUGARCANE,CHICKPEA,WHEAT,BARLEY
Bharuch,SUGARCANE,MAIZE,GROUNDNUT,WHEAT
Bhatinda,WHEAT,BARLEY,SUGARCANE,RICE
Bhavnagar,SUGARCANE,SESAMUM,WHEAT,GROUNDNUT
Bhilwara,SUGARCANE,MAIZE,WHEAT,BARLEY
Bhind,SUGARCANE,BARLEY,WHEAT,RICE
Bidar,SUGARCANE,SORGHUM,MAIZE,RICE
Bijapur / Vijayapura,SUGARCANE,SORGHUM,MAIZE,RICE
Bijnor,SUGARCANE,BARLEY,WHEAT,RICE
Bikaner,SUGARCANE,BARLEY,WHEAT,GROUNDNUT
Bilashpur,MAIZE,WHEAT,SESAMUM,RICE
Bilaspur,RICE,PIGEONPEA,SUGARCANE,GROUNDNUT
Birbhum,SUGARCANE,CHICKPEA,RICE,WHEAT
Bolangir,SUGARCANE,GROUNDNUT,RICE,WHEAT
Bombay,RICE,GROUNDNUT,SESAMUM,PIGEONPEA
Budaun,SUGARCANE,BARLEY,WHEAT,RICE
Buland Shahar,SUGARCANE,RICE,WHEAT,BARLEY
Buldhana,SUGARCANE,WHEAT,MAIZE,SORGHUM
Bundi,SUGARCANE,RICE,WHEAT,BARLEY
Burdwan,SUGARCANE,GROUNDNUT,RICE,WHEAT
Cachar,SUGARCANE,WHEAT,RICE,PIGEONPEA
Chamba,MAIZE,BARLEY,WHEAT,RICE
Chamoli,MUSTARD,SESAMUM,RICE,PIGEONPEA
Champaran,SUGARCANE,MAIZE,RICE,WHEAT
Chandrapur,SUGARCANE,MAIZE,RICE,GROUNDNUT
Chengalpattu MGR / Kanchipuram,SUGARCANE,RAGI,RICE,GROUNDNUT
Chhatarpur,SUGARCANE,CHICKPEA,WHEAT,BARLEY
Chhindwara,SUGARCANE,PIGEONPEA,MAIZE,WHEAT
Chickmagalur,SUGARCANE,GROUNDNUT,MAIZE,RICE
Chitradurga,SUGARCANE,SORGHUM,RICE,MAIZE
Chittoor,SUGARCANE,GROUNDNUT,MAIZE,RICE
Chittorgarh,SUGARCANE,MAIZE,WHEAT,BARLEY
Churu,WHEAT,MUSTARD,GROUNDNUT,BARLEY
Coimbatore,SUGARCANE,GROUNDNUT,RICE,MAIZE
Cooch Behar,SUGARCANE,WHEAT,MAIZE,RICE
Cuttack,SUGARCANE,WHEAT,RICE,GROUNDNUT
Dakshina Kannada,SUGARCANE,SESAMUM,RICE,GROUNDNUT
Damoh,SUGARCANE,GROUNDNUT,MAIZE,WHEAT
Dangs,GROUNDNUT,MAIZE,WHEAT,RICE
Darbhanga,SUGARCANE,RICE,MAIZE,WHEAT
Darjeeling,MAIZE,RICE,SUGARCANE,WHEAT
Darrang,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Datia,SUGARCANE,CHICKPEA,WHEAT,BARLEY
Dehradun,SUGARCANE,BARLEY,RICE,WHEAT
Deoria,SUGARCANE,BARLEY,WHEAT,RICE
Dewas,SUGARCANE,SORGHUM,WHEAT,CHICKPEA
Dhanbad,PIGEONPEA,WHEAT,SUGARCANE,RICE
Dhar,SUGARCANE,GROUNDNUT,WHEAT,MAIZE
Dharwad,SUGARCANE,SORGHUM,MAIZE,RICE
Dhenkanal,SUGARCANE,RICE,WHEAT,GROUNDNUT
Dhule,SUGARCANE,SORGHUM,MAIZE,WHEAT
Dibrugarh,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Dungarpur,SUGARCANE,CHICKPEA,BARLEY,WHEAT
Durg,RICE,PIGEONPEA,GROUNDNUT,SUGARCANE
East Godavari,SUGARCANE,GROUNDNUT,MAIZE,RICE
Eranakulam,RICE,RAGI,SUGARCANE,SESAMUM
Etah,SUGARCANE,RICE,WHEAT,BARLEY
Etawah,SUGARCANE,BARLEY,WHEAT,RICE
Faizabad,SUGARCANE,BARLEY,WHEAT,RICE
Farrukhabad,SUGARCANE,BARLEY,WHEAT,RICE
Fatehpur,SUGARCANE,RICE,WHEAT,PIGEONPEA
Ferozpur,WHEAT,BARLEY,SUGARCANE,RICE
Ganganagar,SUGARCANE,BARLEY,WHEAT,RICE
Ganjam,SUGARCANE,GROUNDNUT,RICE,WHEAT
Garhwal,PIGEONPEA,SESAMUM,RICE,WHEAT
Gaya,SUGARCANE,MAIZE,RICE,WHEAT
Ghazipur,SUGARCANE,BARLEY,WHEAT,RICE
Goalpara,SUGARCANE,PIGEONPEA,RICE,WHEAT
Gonda,SUGARCANE,BARLEY,WHEAT,RICE
Gorakhpur,SUGARCANE,BARLEY,WHEAT,RICE
Gulbarga / Kalaburagi,SUGARCANE,PIGEONPEA,MAIZE,RICE
Guna,SUGARCANE,GROUNDNUT,BARLEY,WHEAT
Guntur,SUGARCANE,GROUNDNUT,MAIZE,RICE
Gurdaspur,SUGARCANE,MAIZE,WHEAT,RICE
Gurgaon,SUGARCANE,BARLEY,WHEAT,RICE
Gwalior,SUGARCANE,BARLEY,WHEAT,RICE
Hamirpur,SUGARCANE,BARLEY,WHEAT,PIGEONPEA
Hardoi,SUGARCANE,BARLEY,WHEAT,RICE
Hassan,SUGARCANE,RAGI,MAIZE,RICE
Hazaribagh,SUGARCANE,WHEAT,RICE,PIGEONPEA
Hissar,WHEAT,BARLEY,SUGARCANE,RICE
Hooghly,SUGARCANE,GROUNDNUT,RICE,WHEAT
Hoshangabad,SUGARCANE,MAIZE,WHEAT,PIGEONPEA
Hoshiarpur,SUGARCANE,MAIZE,WHEAT,RICE
Howrah,SUGARCANE,GROUNDNUT,RICE,WHEAT
Hyderabad,SUGARCANE,GROUNDNUT,RICE,MAIZE
Indore,SUGARCANE,PIGEONPEA,WHEAT,GROUNDNUT
Jabalpur,SUGARCANE,MAIZE,WHEAT,PIGEONPEA
Jaipur,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Jaisalmer,WHEAT,MUSTARD,BARLEY,GROUNDNUT
Jalandhar,SUGARCANE,MAIZE,WHEAT,RICE
Jalaun,SUGARCANE,BARLEY,WHEAT,PIGEONPEA
Jalgaon,SUGARCANE,WHEAT,SORGHUM,MAIZE
Jalore,BARLEY,MUSTARD,WHEAT,GROUNDNUT
Jalpaiguri,SUGARCANE,MAIZE,RICE,WHEAT
Jamnagar,SUGARCANE,MUSTARD,WHEAT,GROUNDNUT
Jaunpur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Jhabua,SUGARCANE,GROUNDNUT,WHEAT,MAIZE
Jhalawar,SUGARCANE,RICE,WHEAT,BARLEY
Jhansi,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Jhunjhunu,WHEAT,MUSTARD,GROUNDNUT,BARLEY
Jind,SUGARCANE,BARLEY,WHEAT,RICE
Jodhpur,BARLEY,MUSTARD,WHEAT,GROUNDNUT
Junagadh,SUGARCANE,MUSTARD,WHEAT,GROUNDNUT
Kadapa YSR,SUGARCANE,RAGI,RICE,MAIZE
Kalahandi,SUGARCANE,WHEAT,GROUNDNUT,RICE
Kamrup,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Kangra,MAIZE,SESAMUM,WHEAT,RICE
Kannur,RICE,PIGEONPEA,SUGARCANE,SESAMUM
Kanpur,SUGARCANE,RICE,WHEAT,PIGEONPEA
Kanyakumari,RICE,SESAMUM,GROUNDNUT,SUGARCANE
Kapurthala,SUGARCANE,MAIZE,WHEAT,RICE
Karbi Anglong,SUGARCANE,PIGEONPEA,RICE,SESAMUM
Karimnagar,SUGARCANE,GROUNDNUT,RICE,MAIZE
Karnal,SUGARCANE,PIGEONPEA,WHEAT,RICE
Keonjhar,SUGARCANE,RICE,WHEAT,GROUNDNUT
Khammam,SUGARCANE,GROUNDNUT,MAIZE,RICE
Khandwa / East Nimar,SUGARCANE,PIGEONPEA,WHEAT,MAIZE
Khargone / West Nimar,SUGARCANE,SORGHUM,WHEAT,MAIZE
Kheda,SUGARCANE,GROUNDNUT,WHEAT,RICE
Kheri,SUGARCANE,BARLEY,WHEAT,RICE
Kinnaur,MAIZE,RICE,BARLEY,WHEAT
Kodagu / Coorg,MAIZE,GROUNDNUT,RICE,SUGARCANE
Kolar,SUGARCANE,RAGI,MAIZE,RICE
Kolhapur,SUGARCANE,GROUNDNUT,RICE,MAIZE
Kollam,RICE,PIGEONPEA,SUGARCANE,SESAMUM
Koraput,SUGARCANE,MAIZE,RICE,GROUNDNUT
Kota,SUGARCANE,BARLEY,WHEAT,RICE
Kottayam,RICE,RAGI,SUGARCANE,SESAMUM
Kozhikode,RICE,SUGARCANE,SESAMUM,PIGEONPEA
Krishna,SUGARCANE,GROUNDNUT,RICE,MAIZE
Kullu,MAIZE,RICE,WHEAT,BARLEY
Kurnool,SUGARCANE,RAGI,MAIZE,RICE
Kutch,SUGARCANE,MUSTARD,WHEAT,GROUNDNUT
Lahul & Spiti,WHEAT,MUSTARD,MAIZE,BARLEY
Lakhimpur,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Lucknow,SUGARCANE,PIGEONPEA,WHEAT,RICE
Ludhiana,SUGARCANE,MAIZE,WHEAT,RICE
Madurai,SUGARCANE,GROUNDNUT,RICE,MAIZE
Mahabubnagar,SUGARCANE,GROUNDNUT,RICE,MAIZE
Mahendragarh / Narnaul,SUGARCANE,MUSTARD,WHEAT,BARLEY
Mainpuri,SUGARCANE,RICE,WHEAT,BARLEY
Malappuram,RICE,GROUNDNUT,SESAMUM,SUGARCANE
Malda,SUGARCANE,MAIZE,RICE,WHEAT
Mandi,MAIZE,SESAMUM,WHEAT,BARLEY
Mandla,SUGARCANE,SESAMUM,PIGEONPEA,MAIZE
Mandsaur,SUGARCANE,MAIZE,WHEAT,BARLEY
Mandya,SUGARCANE,RAGI,RICE,MAIZE
Mathura,SUGARCANE,RICE,WHEAT,BARLEY
Mayurbhanja,SUGARCANE,GROUNDNUT,WHEAT,RICE
Medak,SUGARCANE,GROUNDNUT,RICE,MAIZE
Meerut,SUGARCANE,RICE,WHEAT,BARLEY
Mehsana,WHEAT,MUSTARD,SUGARCANE,RICE
Midnapur,SUGARCANE,MAIZE,RICE,WHEAT
Mirzpur,SUGARCANE,GROUNDNUT,WHEAT,RICE
Moradabad,SUGARCANE,BARLEY,WHEAT,RICE
Morena,SUGARCANE,BARLEY,WHEAT,RICE
Mungair,SUGARCANE,RICE,WHEAT,MAIZE
Murshidabad,SUGARCANE,MAIZE,RICE,WHEAT
Muzaffarnagar,SUGARCANE,BARLEY,WHEAT,RICE
Muzaffarpur,SUGARCANE,MAIZE,CHICKPEA,WHEAT
Mysore,SUGARCANE,RAGI,RICE,MAIZE
Nadia,SUGARCANE,MAIZE,RICE,WHEAT
Nagaon,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Nagaur,WHEAT,MUSTARD,BARLEY,GROUNDNUT
Nagpur,SUGARCANE,GROUNDNUT,RICE,PIGEONPEA
Nainital,SUGARCANE,MAIZE,RICE,WHEAT
Nalgonda,SUGARCANE,GROUNDNUT,RICE,MAIZE
Nanded,SUGARCANE,GROUNDNUT,SORGHUM,MAIZE
Narsinghpur,SUGARCANE,MAIZE,WHEAT,PIGEONPEA
Nasik,SUGARCANE,RICE,MAIZE,WHEAT
Nizamabad,SUGARCANE,GROUNDNUT,MAIZE,RICE
North Arcot / Vellore,SUGARCANE,RAGI,RICE,MAIZE
North Cachar Hil / Dima hasao,SUGARCANE,SESAMUM,RICE,PIGEONPEA
Osmanabad,SUGARCANE,WHEAT,SORGHUM,PIGEONPEA
Palakkad,RICE,RAGI,GROUNDNUT,SUGARCANE
Palamau,SUGARCANE,WHEAT,RICE,PIGEONPEA
Pali,WHEAT,SESAMUM,BARLEY,GROUNDNUT
Panchmahal,SUGARCANE,PIGEONPEA,WHEAT,MAIZE
Panna,SUGARCANE,CHICKPEA,WHEAT,PIGEONPEA
Parbhani,SUGARCANE,MAIZE,GROUNDNUT,SORGHUM
Patiala,SUGARCANE,BARLEY,WHEAT,RICE
Patna,SUGARCANE,MAIZE,WHEAT,RICE
Phulbani ( Kandhamal ),SUGARCANE,RICE,WHEAT,GROUNDNUT
Pilibhit,SUGARCANE,PIGEONPEA,WHEAT,RICE
Pithorgarh,WHEAT,MAIZE,RICE,RAGI
Pratapgarh,SUGARCANE,PIGEONPEA,WHEAT,RICE
Pune,SUGARCANE,WHEAT,MAIZE,RICE
Puri,SUGARCANE,WHEAT,RICE,GROUNDNUT
Purnea,SUGARCANE,WHEAT,MAIZE,RICE
Purulia,SUGARCANE,MAIZE,RICE,WHEAT
Rae-Bareily,SUGARCANE,BARLEY,WHEAT,RICE
Raichur,SUGARCANE,GROUNDNUT,RICE,MAIZE
Raigad,RICE,PIGEONPEA,GROUNDNUT,SESAMUM
Raigarh,SUGARCANE,MAIZE,RICE,PIGEONPEA
Raipur,RICE,MAIZE,SUGARCANE,GROUNDNUT
Raisen,WHEAT,MAIZE,SUGARCANE,SORGHUM
Rajgarh,SUGARCANE,BARLEY,WHEAT,CHICKPEA
Rajkot,SUGARCANE,MUSTARD,WHEAT,GROUNDNUT
Ramananthapuram,SUGARCANE,RAGI,RICE,MAIZE
Rampur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Ranchi,SUGARCANE,MAIZE,BARLEY,RICE
Ratlam,SUGARCANE,MAIZE,WHEAT,BARLEY
Ratnagiri,SUGARCANE,RAGI,RICE,GROUNDNUT
Rewa,SUGARCANE,PIGEONPEA,WHEAT,CHICKPEA
Rohtak,SUGARCANE,BARLEY,WHEAT,RICE
Roopnagar / Ropar,SUGARCANE,MAIZE,WHEAT,RICE
S.P.S. Nellore,SUGARCANE,GROUNDNUT,MAIZE,RICE
Sabarkantha,SUGARCANE,MAIZE,WHEAT,RICE
Sagar,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Saharanpur,SUGARCANE,BARLEY,WHEAT,RICE
Saharsa,SUGARCANE,RICE,MAIZE,WHEAT
Salem,SUGARCANE,GROUNDNUT,RICE,MAIZE
Sambalpur,SUGARCANE,GROUNDNUT,RICE,WHEAT
Sangli,SUGARCANE,WHEAT,RICE,MAIZE
Sangrur,SUGARCANE,BARLEY,WHEAT,RICE
Santhal Paragana / Dumka,SUGARCANE,WHEAT,RICE,PIGEONPEA
Saran,SUGARCANE,RICE,WHEAT,MAIZE
Satara,SUGARCANE,GROUNDNUT,RICE,MAIZE
Satna,SUGARCANE,MAIZE,WHEAT,BARLEY
Sehore,SUGARCANE,SORGHUM,WHEAT,GROUNDNUT
Seoni / Shivani,SUGARCANE,GROUNDNUT,PIGEONPEA,RICE
Shahabad (now part of Bhojpur district),SUGARCANE,PIGEONPEA,RICE,WHEAT
Shahdol,SUGARCANE,PIGEONPEA,RICE,GROUNDNUT
Shahjahanpur,SUGARCANE,BARLEY,WHEAT,RICE
Shajapur,SUGARCANE,BARLEY,WHEAT,MAIZE
Shimla,MAIZE,BARLEY,WHEAT,RICE
Shimoge,SUGARCANE,SORGHUM,MAIZE,RICE
Shivpuri,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Sibsagar,SUGARCANE,WHEAT,RICE,SESAMUM
Sidhi,MAIZE,BARLEY,WHEAT,PIGEONPEA
Sikar,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Sirmaur,MAIZE,RICE,SUGARCANE,WHEAT
Sirohi,WHEAT,MUSTARD,BARLEY,GROUNDNUT
Sitapur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Solan,MAIZE,WHEAT,RICE,GROUNDNUT
Solapur,SUGARCANE,WHEAT,MAIZE,GROUNDNUT
South Arcot / Cuddalore,SUGARCANE,RAGI,RICE,GROUNDNUT
Srikakulam,SUGARCANE,GROUNDNUT,MAIZE,RICE
Sultanpur,SUGARCANE,PIGEONPEA,WHEAT,RICE
Sundargarh,SUGARCANE,RICE,WHEAT,GROUNDNUT
Surat,SUGARCANE,GROUNDNUT,WHEAT,RICE
Surendranagar,SUGARCANE,GROUNDNUT,WHEAT,RICE
Surguja,SUGARCANE,MAIZE,RICE,GROUNDNUT
Swami Madhopur,SUGARCANE,CHICKPEA,WHEAT,BARLEY
Tehri Garhwal,PIGEONPEA,SESAMUM,RICE,MUSTARD
Thane,RICE,SESAMUM,SUGARCANE,GROUNDNUT
Thanjavur,SUGARCANE,GROUNDNUT,RICE,MAIZE
The Nilgiris,SUGARCANE,RAGI,RICE,GROUNDNUT
Thirunelveli,SUGARCANE,GROUNDNUT,RICE,RAGI
Thiruvananthapuram,RICE,PIGEONPEA,SESAMUM,GROUNDNUT
Thrissur,RICE,RAGI,SESAMUM,PIGEONPEA
Tikamgarh,SUGARCANE,GROUNDNUT,WHEAT,BARLEY
Tiruchirapalli / Trichy,SUGARCANE,GROUNDNUT,RICE,MAIZE
Tonk,SUGARCANE,MUSTARD,WHEAT,BARLEY
Tumkur,SUGARCANE,RAGI,MAIZE,RICE
Udaipur,SUGARCANE,MAIZE,WHEAT,BARLEY
Ujjain,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Unnao,SUGARCANE,PIGEONPEA,WHEAT,RICE
Uttar Kashi,RICE,RAGI,PIGEONPEA,MUSTARD
Uttara Kannada,SUGARCANE,GROUNDNUT,MAIZE,RICE
Vadodara / Baroda,SUGARCANE,GROUNDNUT,WHEAT,MAIZE
Valsad,SUGARCANE,GROUNDNUT,WHEAT,RICE
Varanasi,SUGARCANE,PIGEONPEA,WHEAT,RICE
Vidisha,SUGARCANE,MAIZE,WHEAT,GROUNDNUT
Visakhapatnam,SUGARCANE,GROUNDNUT,MAIZE,RICE
Warangal,RICE,SUGARCANE,MAIZE,GROUNDNUT
Wardha,SUGARCANE,WHEAT,PIGEONPEA,GROUNDNUT
West Dinajpur,SUGARCANE,WHEAT,RICE,MAIZE
West Godavari,SUGARCANE,GROUNDNUT,RICE,MAIZE
Yeotmal,SUGARCANE,SORGHUM,PIGEONPEA,MAIZE
